OrderNumber,OrderDate,Customer_Name_Index,Chanel,Currency_Code,Warehouse_Code,Delivery_Region_Index,Product_Description_Index,Order_Quantity,Unit_Price,total_sales,Total_Unit_Cost
SO - 0002957,03-05-2015,113,Distributor,USD,GUT930,34,18,7,1835.8,12850.6,1248.34
SO - 0002958,03-05-2015,14,Distributor,USD,AXW291,26,15,9,2291.4,20622.6,1558.15
SO - 0002959,03-05-2015,77,Export,USD,GUT930,46,2,9,3048.5,27436.5,1798.62
SO - 0002960,03-05-2015,96,Export,USD,GUT930,32,26,5,1232.8,6164,653.38
SO - 0002961,03-05-2015,14,Distributor,USD,NXH382,49,14,5,2418.7,12093.5,1789.84
SO - 0002962,03-05-2015,109,Wholesale,USD,FLR025,65,6,5,5380.1,26900.5,3228.06
SO - 0002963,03-05-2015,94,Export,USD,AXW291,27,7,5,3919.5,19597.5,2743.65
SO - 0002964,04-05-2015,56,Distributor,USD,AXW291,9,6,11,1165.8,12823.8,920.98
SO - 0002965,04-05-2015,146,Wholesale,USD,GUT930,38,18,6,167.5,1005,110.55
SO - 0002966,04-05-2015,72,Wholesale,USD,AXW291,20,7,5,1078.7,5393.5,755.09
SO - 0002967,04-05-2015,51,Wholesale,USD,AXW291,15,1,8,6525.8,52206.4,3197.64
SO - 0002968,04-05-2015,174,Wholesale,USD,GUT930,38,26,9,3912.8,35215.2,3091.11
SO - 0002969,04-05-2015,53,Distributor,USD,NXH382,52,14,11,2485.7,27342.7,2063.13
SO - 0002970,04-05-2015,143,Wholesale,USD,AXW291,26,30,11,2244.5,24689.5,1705.82
SO - 0002971,04-05-2015,152,Distributor,USD,AXW291,5,12,7,167.5,1172.5,90.45
SO - 0002972,05-05-2015,18,Distributor,USD,NXH382,58,20,7,844.2,5909.4,379.89
SO - 0002973,05-05-2015,115,Wholesale,USD,GUT930,45,26,11,1118.9,12307.9,749.66
SO - 0002974,05-05-2015,156,Wholesale,USD,GUT930,38,6,8,1695.1,13560.8,1186.57
SO - 0002975,05-05-2015,79,Wholesale,USD,AXW291,9,1,7,2324.9,16274.3,1371.69
SO - 0002976,05-05-2015,34,Wholesale,USD,AXW291,16,13,10,891.1,8911,730.7
SO - 0002977,05-05-2015,22,Wholesale,USD,AXW291,12,19,8,1092.1,8736.8,491.45
SO - 0002978,05-05-2015,95,Distributor,USD,GUT930,32,15,9,1078.7,9708.3,744.3
SO - 0002979,05-05-2015,107,Distributor,USD,AXW291,30,30,5,3892.7,19463.5,1868.5
SO - 0002980,05-05-2015,107,Distributor,USD,AXW291,23,10,11,984.9,10833.9,778.07
SO - 0002981,05-05-2015,82,Distributor,USD,NXH382,59,20,9,3839.1,34551.9,3263.24
SO - 0002982,05-05-2015,2,Wholesale,USD,GUT930,38,13,11,1085.4,11939.4,575.26
SO - 0002983,05-05-2015,167,Wholesale,USD,NXH382,53,29,5,227.8,1139,164.02
SO - 0002984,05-05-2015,102,Distributor,USD,NXH382,50,10,10,1018.4,10184,437.91
SO - 0002985,05-05-2015,139,Distributor,USD,GUT930,42,3,10,2445.5,24455,1027.11
SO - 0002986,05-05-2015,97,Export,USD,GUT930,46,1,6,187.6,1125.6,88.17
SO - 0002987,05-05-2015,3,Wholesale,USD,GUT930,44,13,6,710.2,4261.2,333.79
SO - 0002988,05-05-2015,100,Wholesale,USD,NXH382,50,8,8,1782.2,14257.6,1318.83
SO - 0002989,05-05-2015,95,Wholesale,USD,AXW291,8,3,6,951.4,5708.4,418.62
SO - 0002990,05-05-2015,72,Export,USD,FLR025,65,16,6,5628,33768,4558.68
SO - 0002991,05-05-2015,70,Wholesale,USD,GUT930,43,13,5,1078.7,5393.5,647.22
SO - 0002992,06-05-2015,145,Wholesale,USD,AXW291,22,19,8,3872.6,30980.8,2904.45
SO - 0002993,06-05-2015,134,Wholesale,USD,FLR025,63,5,11,871,9581,679.38
SO - 0002994,06-05-2015,173,Distributor,USD,AXW291,5,27,9,1132.3,10190.7,736
SO - 0002995,06-05-2015,30,Distributor,USD,AXW291,4,13,10,1936.3,19363,929.42
SO - 0002996,06-05-2015,42,Distributor,USD,GUT930,32,5,10,5078.6,50786,3605.81
SO - 0002997,06-05-2015,110,Wholesale,USD,NXH382,48,25,9,1956.4,17607.6,1604.25
SO - 0002998,06-05-2015,61,Wholesale,USD,AXW291,23,15,11,254.6,2800.6,117.12
SO - 0002999,06-05-2015,84,Wholesale,USD,GUT930,42,23,6,1333.3,7999.8,599.99
SO - 0003000,07-05-2015,68,Wholesale,USD,GUT930,44,5,9,1259.6,11336.4,1020.28
SO - 0003001,07-05-2015,34,Wholesale,USD,GUT930,39,28,12,2418.7,29024.4,1427.03
SO - 0003002,07-05-2015,153,Distributor,USD,NXH382,49,24,5,2740.3,13701.5,1753.79
SO - 0003003,07-05-2015,84,Distributor,USD,NXH382,51,13,7,2425.4,16977.8,1576.51
SO - 0003004,07-05-2015,156,Wholesale,USD,GUT930,42,23,11,1742,19162,801.32
SO - 0003005,07-05-2015,74,Wholesale,USD,NXH382,59,12,12,1125.6,13507.2,675.36
SO - 0003006,07-05-2015,43,Wholesale,USD,GUT930,33,2,11,2472.3,27195.3,1483.38
SO - 0003007,08-05-2015,79,Distributor,USD,NXH382,47,5,9,2673.3,24059.7,1096.05
SO - 0003008,08-05-2015,170,Distributor,USD,AXW291,26,3,8,857.6,6860.8,403.07
SO - 0003009,08-05-2015,77,Wholesale,USD,AXW291,10,18,8,2485.7,19885.6,1019.14
SO - 0003010,08-05-2015,111,Wholesale,USD,AXW291,27,4,12,2519.2,30230.4,1990.17
SO - 0003011,08-05-2015,34,Distributor,USD,AXW291,14,13,6,951.4,5708.4,618.41
SO - 0003012,08-05-2015,53,Wholesale,USD,GUT930,33,1,11,3463.9,38102.9,2528.65
SO - 0003013,08-05-2015,12,Distributor,USD,AXW291,16,25,12,944.7,11336.4,500.69
SO - 0003014,08-05-2015,27,Export,USD,AXW291,8,16,8,3289.7,26317.6,2039.61
SO - 0003015,08-05-2015,115,Export,USD,AXW291,22,1,12,2613,31356,1802.97
SO - 0003016,09-05-2015,10,Distributor,USD,GUT930,38,5,11,3993.2,43925.2,2954.97
SO - 0003017,09-05-2015,100,Wholesale,USD,NXH382,58,2,8,3343.3,26746.4,2540.91
SO - 0003018,09-05-2015,101,Distributor,USD,NXH382,56,28,6,1025.1,6150.6,758.57
SO - 0003019,09-05-2015,152,Wholesale,USD,GUT930,36,28,7,254.6,1782.2,211.32
SO - 0003020,09-05-2015,48,Wholesale,USD,AXW291,5,5,11,1078.7,11865.7,798.24
SO - 0003021,09-05-2015,119,Wholesale,USD,AXW291,18,1,8,897.8,7182.4,421.97
SO - 0003022,09-05-2015,47,Export,USD,AXW291,14,17,11,2680,29480,1956.4
SO - 0003023,09-05-2015,3,Wholesale,USD,FLR025,66,1,9,5326.5,47938.5,2237.13
SO - 0003024,10-05-2015,69,Wholesale,USD,AXW291,18,18,7,214.4,1500.8,147.94
SO - 0003025,10-05-2015,149,Export,USD,AXW291,10,15,9,1098.8,9889.2,461.5
SO - 0003026,10-05-2015,71,Distributor,USD,AXW291,27,4,9,1949.7,17547.3,1228.31
SO - 0003027,10-05-2015,157,Wholesale,USD,AXW291,13,9,8,1085.4,8683.2,640.39
SO - 0003028,10-05-2015,21,Distributor,USD,GUT930,38,2,11,1755.4,19309.4,1176.12
SO - 0003029,10-05-2015,140,Distributor,USD,NXH382,58,16,11,1929.6,21225.6,1022.69
SO - 0003030,10-05-2015,74,Wholesale,USD,GUT930,39,13,7,194.3,1360.1,153.5
SO - 0003031,10-05-2015,91,Wholesale,USD,NXH382,48,28,12,254.6,3055.2,180.77
SO - 0003032,10-05-2015,85,Wholesale,USD,FLR025,65,5,12,1788.9,21466.8,948.12
SO - 0003033,11-05-2015,43,Export,USD,FLR025,66,25,5,2499.1,12495.5,1124.6
SO - 0003034,11-05-2015,125,Export,USD,GUT930,35,22,9,3195.9,28763.1,2588.68
SO - 0003035,11-05-2015,2,Wholesale,USD,AXW291,25,30,12,4006.6,48079.2,1843.04
SO - 0003036,11-05-2015,31,Distributor,USD,NXH382,59,5,8,194.3,1554.4,104.92
SO - 0003037,11-05-2015,164,Export,USD,NXH382,55,24,9,1018.4,9165.6,407.36
SO - 0003038,11-05-2015,103,Wholesale,USD,AXW291,30,7,12,174.2,2090.4,97.55
SO - 0003039,11-05-2015,132,Export,USD,GUT930,33,13,5,1125.6,5628,731.64
SO - 0003040,12-05-2015,20,Export,USD,AXW291,9,4,11,2854.2,31396.2,2426.07
SO - 0003041,12-05-2015,162,Wholesale,USD,GUT930,37,26,11,3383.5,37218.5,2131.61
SO - 0003042,12-05-2015,84,Distributor,USD,AXW291,15,1,10,3035.1,30351,2215.62
SO - 0003043,12-05-2015,133,Distributor,USD,GUT930,36,15,12,3939.6,47275.2,1891.01
SO - 0003044,12-05-2015,49,Wholesale,USD,AXW291,10,26,9,6023.3,54209.7,2770.72
SO - 0003045,12-05-2015,11,Distributor,USD,AXW291,21,14,10,194.3,1943,101.04
SO - 0003046,12-05-2015,68,Wholesale,USD,NXH382,50,6,5,5540.9,27704.5,4709.77
SO - 0003047,12-05-2015,62,Wholesale,USD,NXH382,58,25,9,3336.6,30029.4,2769.38
SO - 0003048,12-05-2015,142,Wholesale,USD,GUT930,42,13,5,1775.5,8877.5,1065.3
SO - 0003049,12-05-2015,136,Wholesale,USD,GUT930,45,20,6,737,4422,501.16
SO - 0003050,12-05-2015,102,Wholesale,USD,GUT930,39,10,10,227.8,2278,123.01
SO - 0003051,12-05-2015,4,Wholesale,USD,FLR025,61,16,5,5440.4,27202,2393.78
SO - 0003052,12-05-2015,53,Wholesale,USD,AXW291,11,14,8,958.1,7664.8,756.9
SO - 0003053,12-05-2015,15,Distributor,USD,AXW291,25,13,7,844.2,5909.4,354.56
SO - 0003054,13-05-2015,100,Distributor,USD,NXH382,55,14,11,2318.2,25500.2,1182.28
SO - 0003055,13-05-2015,99,Wholesale,USD,AXW291,27,7,8,2499.1,19992.8,1949.3
SO - 0003056,13-05-2015,69,Wholesale,USD,AXW291,22,30,12,3932.9,47194.8,2045.11
SO - 0003057,13-05-2015,152,Wholesale,USD,AXW291,17,29,5,3510.8,17554,1720.29
SO - 0003058,13-05-2015,49,Distributor,USD,AXW291,18,6,10,194.3,1943,163.21
SO - 0003059,13-05-2015,88,Wholesale,USD,FLR025,66,25,6,3946.3,23677.8,2328.32
SO - 0003060,13-05-2015,108,Wholesale,USD,FLR025,62,14,12,1118.9,13426.8,693.72
SO - 0003061,13-05-2015,65,Wholesale,USD,AXW291,31,26,6,1688.4,10130.4,1401.37
SO - 0003062,13-05-2015,94,Wholesale,USD,NXH382,54,20,10,2291.4,22914,1856.03
SO - 0003063,14-05-2015,122,Distributor,USD,AXW291,9,1,5,1936.3,9681.5,1123.05
SO - 0003064,14-05-2015,76,Distributor,USD,GUT930,35,1,6,1876,11256,1106.84
SO - 0003065,14-05-2015,172,Wholesale,USD,FLR025,60,15,5,3658.2,18291,2780.23
SO - 0003066,14-05-2015,128,Wholesale,USD,AXW291,3,9,12,180.9,2170.8,117.59
SO - 0003067,14-05-2015,43,Wholesale,USD,AXW291,4,1,6,1038.5,6231,467.33
SO - 0003068,14-05-2015,107,Wholesale,USD,AXW291,13,25,6,227.8,1366.8,152.63
SO - 0003069,14-05-2015,42,Wholesale,USD,FLR025,62,3,5,1252.9,6264.5,826.91
SO - 0003070,15-05-2015,144,Wholesale,USD,AXW291,12,25,11,1246.2,13708.2,797.57
SO - 0003071,15-05-2015,110,Export,USD,AXW291,11,25,7,2271.3,15899.1,1408.21
SO - 0003072,15-05-2015,134,Distributor,USD,GUT930,33,19,6,1721.9,10331.4,1308.64
SO - 0003073,15-05-2015,19,Export,USD,AXW291,23,3,7,5045.1,35315.7,2623.45
SO - 0003074,15-05-2015,85,Export,USD,AXW291,14,14,6,3839.1,23034.6,3148.06
SO - 0003075,15-05-2015,18,Wholesale,USD,GUT930,40,2,6,1058.6,6351.6,455.2
SO - 0003076,15-05-2015,36,Distributor,USD,NXH382,56,24,10,3946.3,39463,3354.36
SO - 0003077,15-05-2015,83,Wholesale,USD,GUT930,34,21,7,824.1,5768.7,395.57
SO - 0003078,15-05-2015,106,Wholesale,USD,AXW291,16,13,9,797.3,7175.7,645.81
SO - 0003079,16-05-2015,57,Distributor,USD,AXW291,6,15,8,1688.4,13507.2,827.32
SO - 0003080,16-05-2015,175,Wholesale,USD,FLR025,62,26,11,1728.6,19014.6,1175.45
SO - 0003081,16-05-2015,163,Distributor,USD,FLR025,62,13,9,931.3,8381.7,512.22
SO - 0003082,16-05-2015,170,Wholesale,USD,AXW291,13,15,7,2492.4,17446.8,1520.36
SO - 0003083,16-05-2015,47,Wholesale,USD,FLR025,62,27,10,1862.6,18626,1303.82
SO - 0003084,16-05-2015,55,Wholesale,USD,GUT930,36,16,6,2003.3,12019.8,821.35
SO - 0003085,16-05-2015,139,Wholesale,USD,NXH382,55,6,6,3852.5,23115,1695.1
SO - 0003086,17-05-2015,37,Distributor,USD,GUT930,41,4,6,201,1206,136.68
SO - 0003087,17-05-2015,59,Distributor,USD,GUT930,33,14,8,1695.1,13560.8,915.35
SO - 0003088,17-05-2015,174,Distributor,USD,GUT930,35,26,12,6445.4,77344.8,2835.98
SO - 0003089,17-05-2015,60,Export,USD,AXW291,12,2,12,1085.4,13024.8,445.01
SO - 0003090,17-05-2015,3,Distributor,USD,FLR025,63,18,8,1085.4,8683.2,716.36
SO - 0003091,18-05-2015,135,Wholesale,USD,GUT930,41,17,5,6083.6,30418,3041.8
SO - 0003092,18-05-2015,67,Wholesale,USD,AXW291,7,2,5,676.7,3383.5,345.12
SO - 0003093,18-05-2015,66,Distributor,USD,NXH382,59,26,12,2010,24120,964.8
SO - 0003094,18-05-2015,104,Distributor,USD,NXH382,52,13,6,2586.2,15517.2,1603.44
SO - 0003095,18-05-2015,50,Wholesale,USD,GUT930,36,5,7,850.9,5956.3,655.19
SO - 0003096,18-05-2015,69,Wholesale,USD,AXW291,24,24,10,1976.5,19765,1442.85
SO - 0003097,18-05-2015,165,Distributor,USD,AXW291,16,19,9,1179.2,10612.8,601.39
SO - 0003098,18-05-2015,60,Wholesale,USD,GUT930,37,26,11,207.7,2284.7,95.54
SO - 0003099,19-05-2015,167,Export,USD,FLR025,64,5,6,1943,11658,1224.09
SO - 0003100,19-05-2015,151,Export,USD,AXW291,3,4,5,3886,19430,3108.8
SO - 0003101,20-05-2015,64,Wholesale,USD,GUT930,40,15,10,884.4,8844,512.95
SO - 0003102,20-05-2015,149,Wholesale,USD,GUT930,33,17,10,2599.6,25996,1195.82
SO - 0003103,20-05-2015,63,Distributor,USD,AXW291,24,25,11,1695.1,18646.1,966.21
SO - 0003104,20-05-2015,17,Wholesale,USD,GUT930,35,23,5,1112.2,5561,934.25
SO - 0003105,20-05-2015,91,Wholesale,USD,AXW291,26,24,10,5038.4,50384,2267.28
SO - 0003106,20-05-2015,10,Distributor,USD,GUT930,43,26,7,1943,13601,874.35
SO - 0003107,20-05-2015,173,Wholesale,USD,GUT930,38,25,5,1688.4,8442,861.08
SO - 0003108,20-05-2015,128,Export,USD,AXW291,8,2,6,1125.6,6753.6,529.03
SO - 0003109,20-05-2015,59,Wholesale,USD,AXW291,17,18,11,1065.3,11718.3,575.26
SO - 0003110,21-05-2015,127,Wholesale,USD,AXW291,26,26,7,964.8,6753.6,569.23
SO - 0003111,21-05-2015,149,Wholesale,USD,GUT930,40,14,6,1065.3,6391.8,873.55
SO - 0003112,21-05-2015,135,Export,USD,GUT930,37,26,9,1098.8,9889.2,769.16
SO - 0003113,21-05-2015,101,Wholesale,USD,GUT930,37,25,8,1802.3,14418.4,1297.66
SO - 0003114,21-05-2015,27,Wholesale,USD,FLR025,62,26,11,254.6,2800.6,206.23
SO - 0003115,21-05-2015,68,Export,USD,NXH382,51,26,12,1996.6,23959.2,1397.62
SO - 0003116,21-05-2015,169,Export,USD,NXH382,50,7,12,1058.6,12703.2,476.37
SO - 0003117,21-05-2015,146,Distributor,USD,AXW291,3,19,7,6438.7,45070.9,4120.77
SO - 0003118,21-05-2015,18,Wholesale,USD,AXW291,26,15,6,3946.3,23677.8,3354.36
SO - 0003119,21-05-2015,106,Wholesale,USD,FLR025,63,25,12,1112.2,13346.4,444.88
SO - 0003120,21-05-2015,61,Distributor,USD,NXH382,60,14,9,1165.8,10492.2,722.8
SO - 0003121,21-05-2015,143,Export,USD,NXH382,54,12,6,1172.5,7035,656.6
SO - 0003122,22-05-2015,4,Wholesale,USD,NXH382,48,22,9,1983.2,17848.8,1685.72
SO - 0003123,22-05-2015,84,Wholesale,USD,AXW291,14,15,12,5313.1,63757.2,4091.09
SO - 0003124,22-05-2015,13,Distributor,USD,GUT930,40,16,5,3832.4,19162,2989.27
SO - 0003125,22-05-2015,149,Wholesale,USD,GUT930,36,14,8,2592.9,20743.2,1348.31
SO - 0003126,22-05-2015,88,Wholesale,USD,AXW291,19,13,12,2941.3,35295.6,2176.56
SO - 0003127,22-05-2015,99,Wholesale,USD,GUT930,40,23,5,4006.6,20033,2444.03
SO - 0003128,22-05-2015,91,Distributor,USD,GUT930,34,17,10,991.6,9916,664.37
SO - 0003129,23-05-2015,114,Wholesale,USD,NXH382,59,21,8,857.6,6860.8,428.8
SO - 0003130,23-05-2015,166,Distributor,USD,AXW291,25,29,12,1835.8,22029.6,1009.69
SO - 0003131,23-05-2015,161,Export,USD,AXW291,17,10,5,1916.2,9581,1073.07
SO - 0003132,23-05-2015,101,Wholesale,USD,FLR025,66,26,12,1112.2,13346.4,456
SO - 0003133,23-05-2015,58,Wholesale,USD,AXW291,15,26,9,3946.3,35516.7,2999.19
SO - 0003134,23-05-2015,102,Wholesale,USD,AXW291,11,15,11,2311.5,25426.5,1271.33
SO - 0003135,23-05-2015,41,Export,USD,NXH382,49,18,6,6405.2,38431.2,4803.9
SO - 0003136,23-05-2015,45,Distributor,USD,AXW291,17,17,10,1876,18760,1557.08
SO - 0003137,23-05-2015,120,Export,USD,GUT930,40,10,10,3993.2,39932,3154.63
SO - 0003138,23-05-2015,105,Wholesale,USD,NXH382,55,24,10,917.9,9179,761.86
SO - 0003139,23-05-2015,37,Distributor,USD,GUT930,38,19,10,3591.2,35912,2729.31
SO - 0003140,23-05-2015,89,Wholesale,USD,GUT930,33,18,5,2492.4,12462,1694.83
SO - 0003141,24-05-2015,119,Wholesale,USD,FLR025,62,4,10,1025.1,10251,850.83
SO - 0003142,24-05-2015,114,Wholesale,USD,FLR025,63,18,7,2271.3,15899.1,1635.34
SO - 0003143,24-05-2015,37,Export,USD,AXW291,7,26,5,174.2,871,118.46
SO - 0003144,24-05-2015,51,Distributor,USD,GUT930,32,17,9,750.4,6753.6,630.34
SO - 0003145,24-05-2015,41,Export,USD,AXW291,30,13,8,1889.4,15115.2,1209.22
SO - 0003146,24-05-2015,94,Distributor,USD,AXW291,9,27,11,5983.1,65814.1,3111.21
SO - 0003147,24-05-2015,27,Distributor,USD,GUT930,38,4,12,241.2,2894.4,108.54
SO - 0003148,24-05-2015,160,Wholesale,USD,AXW291,22,5,9,2512.5,22612.5,1080.38
SO - 0003149,25-05-2015,42,Export,USD,AXW291,29,17,12,984.9,11818.8,699.28
SO - 0003150,25-05-2015,27,Wholesale,USD,NXH382,60,14,11,2847.5,31322.5,1822.4
SO - 0003151,25-05-2015,115,Distributor,USD,AXW291,28,18,8,1005,8040,603
SO - 0003152,25-05-2015,106,Wholesale,USD,GUT930,32,26,6,2338.3,14029.8,1894.02
SO - 0003153,25-05-2015,142,Wholesale,USD,AXW291,6,11,9,6170.7,55536.3,5121.68
SO - 0003154,25-05-2015,124,Wholesale,USD,NXH382,58,26,10,2465.6,24656,1972.48
SO - 0003155,25-05-2015,71,Wholesale,USD,FLR025,61,13,6,2385.2,14311.2,1240.3
SO - 0003156,25-05-2015,62,Export,USD,FLR025,65,16,11,1045.2,11497.2,470.34
SO - 0003157,25-05-2015,144,Wholesale,USD,NXH382,56,25,11,2566.1,28227.1,1616.64
SO - 0003158,25-05-2015,30,Distributor,USD,AXW291,7,16,5,2559.4,12797,1970.74
SO - 0003159,26-05-2015,144,Distributor,USD,FLR025,63,26,11,3363.4,36997.4,2657.09
SO - 0003160,26-05-2015,170,Distributor,USD,FLR025,66,21,11,1078.7,11865.7,647.22
SO - 0003161,26-05-2015,113,Distributor,USD,NXH382,51,5,8,5929.5,47436,3913.47
SO - 0003162,26-05-2015,168,Wholesale,USD,NXH382,50,26,11,1909.5,21004.5,1451.22
SO - 0003163,26-05-2015,164,Wholesale,USD,AXW291,7,4,9,1098.8,9889.2,780.15
SO - 0003164,26-05-2015,73,Wholesale,USD,GUT930,39,20,9,884.4,7959.6,353.76
SO - 0003165,26-05-2015,32,Distributor,USD,AXW291,15,13,6,1051.9,6311.4,420.76
SO - 0003166,26-05-2015,162,Wholesale,USD,FLR025,64,15,6,864.3,5185.8,449.44
SO - 0003167,26-05-2015,93,Export,USD,FLR025,64,15,11,2619.7,28816.7,1231.26
SO - 0003168,26-05-2015,71,Wholesale,USD,NXH382,47,13,10,6123.8,61238,2816.95
SO - 0003169,27-05-2015,25,Distributor,USD,NXH382,59,13,7,247.9,1735.3,123.95
SO - 0003170,27-05-2015,92,Distributor,USD,AXW291,1,13,11,1969.8,21667.8,827.32
SO - 0003171,27-05-2015,95,Distributor,USD,NXH382,52,6,11,3966.4,43630.4,2816.14
SO - 0003172,27-05-2015,35,Distributor,USD,GUT930,33,1,5,2472.3,12361.5,1211.43
SO - 0003173,27-05-2015,94,Wholesale,USD,FLR025,64,14,6,3470.6,20823.6,1943.54
SO - 0003174,27-05-2015,51,Distributor,USD,NXH382,48,15,11,6150.6,67656.6,4920.48
SO - 0003175,27-05-2015,120,Export,USD,AXW291,16,4,12,2284.7,27416.4,1804.91
SO - 0003176,27-05-2015,124,Wholesale,USD,NXH382,52,3,7,3530.9,24716.3,2930.65
SO - 0003177,28-05-2015,77,Wholesale,USD,GUT930,36,23,10,194.3,1943,128.24
SO - 0003178,28-05-2015,92,Export,USD,AXW291,2,1,5,737,3685,368.5
SO - 0003179,28-05-2015,63,Export,USD,GUT930,32,15,11,1708.5,18793.5,734.66
SO - 0003180,28-05-2015,142,Export,USD,NXH382,53,1,5,2673.3,13366.5,2031.71
SO - 0003181,28-05-2015,7,Wholesale,USD,AXW291,26,3,7,2251.2,15758.4,1710.91
SO - 0003182,28-05-2015,46,Wholesale,USD,FLR025,62,26,8,2499.1,19992.8,1449.48
SO - 0003183,28-05-2015,134,Wholesale,USD,GUT930,38,5,9,1011.7,9105.3,485.62
SO - 0003184,28-05-2015,163,Export,USD,AXW291,21,11,7,1943,13601,1398.96
SO - 0003185,28-05-2015,152,Export,USD,NXH382,59,16,10,5346.6,53466,3475.29
SO - 0003186,28-05-2015,83,Export,USD,GUT930,45,19,9,1159.1,10431.9,938.87
SO - 0003187,28-05-2015,59,Wholesale,USD,FLR025,61,26,8,1835.8,14686.4,1248.34
SO - 0003188,28-05-2015,153,Export,USD,NXH382,50,24,6,2619.7,15718.2,1047.88
SO - 0003189,28-05-2015,56,Wholesale,USD,AXW291,14,25,8,864.3,6914.4,406.22
SO - 0003190,29-05-2015,88,Wholesale,USD,AXW291,1,26,10,201,2010,160.8
SO - 0003191,29-05-2015,59,Distributor,USD,AXW291,18,2,6,964.8,5788.8,627.12
SO - 0003192,29-05-2015,157,Distributor,USD,NXH382,56,5,8,214.4,1715.2,150.08
SO - 0003193,29-05-2015,79,Distributor,USD,NXH382,51,25,8,1152.4,9219.2,460.96
SO - 0003194,29-05-2015,136,Wholesale,USD,FLR025,65,1,5,3872.6,19363,1820.12
SO - 0003195,29-05-2015,135,Wholesale,USD,GUT930,42,16,5,1105.5,5527.5,707.52
SO - 0003196,29-05-2015,7,Distributor,USD,AXW291,21,5,5,3959.7,19798.5,2811.39
SO - 0003197,29-05-2015,165,Distributor,USD,FLR025,66,26,10,1735.3,17353,954.42
SO - 0003198,29-05-2015,137,Wholesale,USD,GUT930,45,13,12,3423.7,41084.4,1540.67
SO - 0003199,29-05-2015,93,Wholesale,USD,GUT930,45,25,7,3865.9,27061.3,1701
SO - 0003200,29-05-2015,122,Wholesale,USD,FLR025,60,6,7,1058.6,7410.2,868.05
SO - 0003201,29-05-2015,74,Export,USD,AXW291,12,13,5,2257.9,11289.5,925.74
SO - 0003202,29-05-2015,41,Distributor,USD,GUT930,33,9,9,5849.1,52641.9,2632.1
SO - 0003203,30-05-2015,134,Wholesale,USD,AXW291,24,14,11,2338.3,25721.3,1964.17
SO - 0003204,30-05-2015,81,Distributor,USD,GUT930,45,26,7,1025.1,7175.7,809.83
SO - 0003205,30-05-2015,164,Export,USD,NXH382,49,14,9,2291.4,20622.6,1764.38
SO - 0003206,30-05-2015,95,Wholesale,USD,GUT930,31,13,12,1058.6,12703.2,476.37
SO - 0003207,30-05-2015,98,Distributor,USD,GUT930,43,15,5,1139,5695,523.94
SO - 0003208,30-05-2015,32,Export,USD,AXW291,30,19,7,1139,7973,455.6
SO - 0003209,30-05-2015,128,Export,USD,NXH382,47,12,9,3410.3,30692.7,2319
SO - 0003210,30-05-2015,92,Wholesale,USD,FLR025,60,17,12,1085.4,13024.8,640.39
SO - 0003211,31-05-2015,135,Wholesale,USD,GUT930,45,25,9,2385.2,21466.8,1550.38
SO - 0003212,31-05-2015,55,Wholesale,USD,GUT930,46,13,6,227.8,1366.8,109.34
SO - 0003213,31-05-2015,47,Wholesale,USD,AXW291,22,6,10,690.1,6901,324.35
SO - 0003214,31-05-2015,61,Distributor,USD,AXW291,19,25,5,6271.2,31356,4640.69
SO - 0003215,31-05-2015,39,Wholesale,USD,AXW291,2,25,11,174.2,1916.2,127.17
SO - 0003216,31-05-2015,83,Export,USD,AXW291,27,26,7,221.1,1547.7,119.39
SO - 0003217,01-06-2015,89,Wholesale,USD,AXW291,8,17,9,234.5,2110.5,93.8
SO - 0003218,01-06-2015,128,Wholesale,USD,AXW291,27,9,10,1909.5,19095,1355.75
SO - 0003219,01-06-2015,10,Wholesale,USD,AXW291,25,27,5,1112.2,5561,878.64
SO - 0003220,01-06-2015,51,Distributor,USD,AXW291,30,25,6,857.6,5145.6,497.41
SO - 0003221,01-06-2015,67,Wholesale,USD,AXW291,1,16,9,2237.8,20140.2,1409.81
SO - 0003222,01-06-2015,71,Wholesale,USD,NXH382,54,4,5,2345,11725,1031.8
SO - 0003223,01-06-2015,68,Distributor,USD,AXW291,14,14,11,3202.6,35228.6,1377.12
SO - 0003224,01-06-2015,80,Wholesale,USD,AXW291,7,10,11,1051.9,11570.9,736.33
SO - 0003225,02-06-2015,105,Distributor,USD,NXH382,55,25,5,1031.8,5159,567.49
SO - 0003226,02-06-2015,142,Wholesale,USD,AXW291,23,25,9,3912.8,35215.2,1721.63
SO - 0003227,02-06-2015,37,Wholesale,USD,AXW291,1,5,7,1065.3,7457.1,862.89
SO - 0003228,02-06-2015,16,Export,USD,NXH382,49,2,6,3959.7,23758.2,3365.75
SO - 0003229,02-06-2015,114,Wholesale,USD,FLR025,63,19,7,3973.1,27811.7,1708.43
SO - 0003230,02-06-2015,11,Wholesale,USD,AXW291,7,5,8,1072,8576,428.8
SO - 0003231,02-06-2015,89,Distributor,USD,GUT930,37,25,6,2800.6,16803.6,1260.27
SO - 0003232,02-06-2015,50,Export,USD,NXH382,60,12,5,6545.9,32729.5,4713.05
SO - 0003233,02-06-2015,10,Distributor,USD,AXW291,23,1,11,2365.1,26016.1,1016.99
SO - 0003234,02-06-2015,24,Distributor,USD,GUT930,38,25,7,1092.1,7644.7,830
SO - 0003235,02-06-2015,117,Wholesale,USD,AXW291,30,28,8,3403.6,27228.8,2416.56
